Additive_Name,Chemical_Abstracts_Service_Number,European_Number,Allowed in America,Allowed in Europe
Allyl Methyl Trisulfide, 34135-85-8,,Y,
Allyl Nonanoate, 7493-72-3,,Y,
Allyl Octanoate, 4230-97-1,,Y,
Allyl Phenoxyacetate, 7493-74-5,,Y,
Allyl Phenylacetate, 1797-74-6,,Y,
Allyl Propionate, 2408-20-0,,Y,
Allyl Propyl Disulfide, 2179-59-1,,Y,
Allyl Sorbate, 7493-75-6,,Y,
Allyl Sulfide, 592-88-1,,Y,
Allyl Thiohexanoate, 156420-69-8,,Y,
Allyl Thiopropionate, 41820-22-8,,Y,
Allyl Tiglate, 7493-71-2,,Y,
Allyl Valerate, 6321-45-5,,Y,
"Almond, Bitter, Oil (Ffpa) (Prunus Spp.)", 8013-76-1,,Y,
"Aloe, Extract (Aloe Spp.)", 84837-08-1,,Y,
"Alpha-(P-(1,1,3,3-Tetramethylbutyl)Phenyl)-Omega-Hydroxypoly(Oxyethylene)(1 Mol)", 2315-67-5,,Y,
"Alpha-(P-(1,1,3,3-Tetramethylbutyl)Phenyl)-Omega-Hydroxypoly(Oxyethylene)(Greater Than 1 Mol)", 9002-93-1,,Y,
Alpha-(P-Dodecylphenyl)-Omega-Hydroxypoly(Oxyethylene), 26401-47-8,,Y,
"Alpha,Alpha-Dimethylbenzyl Isobutyrate", 7774-60-9,,Y,
"Alpha,Alpha-Dimethylphenethyl Acetate", 151-05-3,,Y,
"Alpha,Alpha-Dimethylphenethyl Alcohol", 100-86-7,,Y,
"Alpha,Alpha-Dimethylphenethyl Butyrate", 10094-34-5,,Y,
"Alpha,Alpha-Dimethylphenethyl Formate", 10058-43-2,,Y,
"Alpha-{P-(1,1,3,3-Tetramethylbutyl)Phenyl}-Omega-Hydroxypoly(Oxyethylene)", 140-66-9,,Y,
Alpha-Acetolactate Decarboxylase Enzyme Preparation From Bacillus Subtilis Recombinant, 977164-02-5,,Y,
Alpha-Alkyl-Omega-Hydroxy-Poly(Oxyethylene), 977044-31-7,,Y,
Alpha-Amylase Enzyme Preparation From Bacillus Stearothermophilus, 98002-53-0,,Y,
Alpha-Amylcinnamaldehyde, 122-40-7,,Y,
Alpha-Amylcinnamaldehyde Dimethyl Acetal, 91-87-2,,Y,
Alpha-Amylcinnamyl Acetate, 7493-78-9,,Y,
Alpha-Amylcinnamyl Alcohol, 101-85-9,,Y,
Alpha-Amylcinnamyl Formate, 7493-79-0,,Y,
Alpha-Amylcinnamyl Isovalerate, 7493-80-3,,Y,
Alpha-Bisabolol, 515-69-5,,Y,
Alpha-Butylcinnamaldehyde, 7492-44-6,,Y,
Alpha-Butyl-Omega-Hydroxypoly(Oxyethylene) Poly(Oxypropylene), 9038-95-3,,Y,
Alpha-Campholenic Alcohol, 1901-38-8,,Y,
Alpha-Damascone, 43052-87-5,,Y,
Alpha-Ethyl Benzyl Butyrate, 10031-86-4,,Y,
Alpha-Furfuryl Octanoate, 39252-03-4,,Y,
Alpha-Furfuryl Pentanoate, 36701-01-6,,Y,
Alpha-Galactosidase From Morteirella Vinaceae Raffinoseutilizer, 977080-39-9,,Y,
Alpha-Hexylcinnamaldehyde, 101-86-0,,Y,
"Alpha-Hydro-Omega-Hydroxy Poly(Oxyethylene) Poly(Oxypropylene) Poly(Oxyethylene) (15 Mole Minimum) Blocked Copolymer, Low Erucic Acid Rapeseed Oil Polymers", 977174-28-9,,Y,
Alpha-Ionene, 475-03-6,,Y,
Alpha-Ionol, 25312-34-9,,Y,
Alpha-Ionone, 127-41-3,,Y,
Alpha-Irone, 79-69-6,,Y,
Alpha-Isobutylphenethyl Alcohol, 7779-78-4,,Y,
Alpha-Isomethylionone, 127-51-5,,Y,
Alpha-Isomethylionyl Acetate, 68555-61-3,,Y,
Alpha-Ketobutyric Acid, 600-18-0,,Y,
Alpha-Methylbenzyl Acetate, 93-92-5,,Y,
Alpha-Methylbenzyl Alcohol, 98-85-1,,Y,
Alpha-Methylbenzyl Butyrate, 3460-44-4,,Y,
Alpha-Methylbenzyl Formate, 7775-38-4,,Y,
Alpha-Methylbenzyl Isobutyrate, 7775-39-5,,Y,
Alpha-Methylbenzyl Propionate, 120-45-6,,Y,
Alpha-Methyl-Beta-Hydroxypropyl Alpha-Methyl-Beta-Mercaptopropyl Sulfide, 54957-02-7,,Y,
Alpha-Methylcinnamaldehyde, 101-39-3,,Y,
Alpha-Methylphenethyl Butyrate, 68922-11-2,,Y,
Alpha-Phellandrene, 99-83-2,,Y,
Alpha-Pinene, 80-56-8,,Y,
Alpha-Propylphenethyl Alcohol, 705-73-7,,Y,
Alpha-Terpinene, 99-86-5,,Y,
Alpha-Terpineol, 98-55-5,,Y,
Alpha-Terpinyl Anthranilate, 14481-52-8,,Y,
Alpha-Tocopherol,,E 307,,Y
Alpha-Tocopherol Acetate, 58-95-7,,Y,
Alpha-Tocopherol Acid Succinate, 4345-03-3,,Y,
Althea Flowers (Althea Officinalis L.), 977052-71-3,,Y,
Althea Root (Althea Officinalis L.), 977005-75-6,,Y,
"Alum (Double Sulfate Of Al And Nh4, K, Or Na)", 977007-61-6,,Y,
Aluminium,,E 173,,Y
Aluminium Silicate (Kaolin),,E 559,,Y
Aluminum Ammonium Sulfate, 7784-26-1,E 523,Y,Y
Aluminum Calcium Silicate, 1327-39-5,,Y,
Aluminum Caprate, 22620-93-5,,Y,
Aluminum Caprylate, 6028-57-5,,Y,
Aluminum Hydroxide, 21645-51-2,,Y,
Aluminum Laurate, 7230-93-5,,Y,
Aluminum Myristate, 4040-50-0,,Y,
Aluminum Nicotinate, 1976-28-9,,Y,
Aluminum Oleate, 688-37-9,,Y,
Aluminum Palmitate, 555-35-1,,Y,
Aluminum Potassium Sulfate, 7784-24-9,E 522,Y,Y
Aluminum Salts Of Fatty Acids, 977089-51-2,,Y,
Aluminum Sodium Sulfate, 7784-28-3,E 521,Y,Y
Aluminum Stearate, 637-12-7,,Y,
Aluminum Sulfate, 10043-01-3,E 520,Y,Y
Amaranth,,E 123,,Y
"Ambergris, Tincture", 977023-08-7,,Y,
Ambrette Seed (Hibiscus Abelmoschus L.), 977052-20-2,,Y,
"Ambrette Seed, Oil (Hibiscus Abelmoschus L.)", 8015-62-1,,Y,
"Ambrette, Absolute, Oil (Hibiscus Abelmoschus L.)", 977017-79-0,,Y,
"Ambrette, Tincture (Hibiscus Abelmoschus L.)", 977017-78-9,,Y,
"Amino Tri(Methylene Phosphonic Acid), Sodium Salt", 20592-85-2,,Y,
Aminoglycoside 3'-Phosphotransferase Ii, 58943-39-8,,Y,
Aminopeptidase From Lactococcus Lactis, 977172-57-8,,Y,
Ammonia (Also Includes Ammonium Chloride), 977188-02-5,,Y,
Ammonia Caramel,,E 150c,,Y
Ammonium Acetate, 631-61-8,,Y,
Ammonium Alginate,,E 403,,Y
Ammonium Bicarbonate, 1066-33-7,,Y,
Ammonium Carbonate, 8000-73-5,E 503,Y,Y
Ammonium Caseinate, 9005-42-9,,Y,
Ammonium Chloride, 12125-02-9,,Y,
"Ammonium Citrate, Dibasic", 3012-65-5,,Y,
Ammonium Gluconate, 2554-04-3,,Y,
Ammonium Hydroxide, 1336-21-6,E 527,Y,Y
Ammonium Isovalerate, 7563-33-9,,Y,
Ammonium Pectinate, 83046-90-6,,Y,
Ammonium Persulfate, 7727-54-0,,Y,
"Ammonium Phosphate, Dibasic", 7783-28-0,,Y,
"Ammonium Phosphate, Monobasic", 7722-76-1,,Y,
Ammonium Phosphatides,,E 442,,Y
Ammonium Sulfate, 7783-20-2,E 517,Y,Y
Ammonium Sulfide, 12135-76-1,,Y,
Ammonium Sulfite, 10196-04-0,,Y,
Amyl 2-Furoate, 4996-48-9,,Y,
Amyl Alcohol, 71-41-0,,Y,
Amyl Butyrate, 540-18-1,,Y,
Amyl Decanoate, 5933-87-9,,Y,
Amyl Formate, 638-49-3,,Y,
Amyl Heptanoate, 7493-82-5,,Y,
Amyl Hexanoate, 540-07-8,,Y,
Amyl Isothiocyanate, 629-12-9,,Y,
Amyl Methyl Disulfide, 72437-68-4,,Y,
Amyl Octanoate, 638-25-5,,Y,
Amyl Salicylate, 2050-08-0,,Y,
Amylase From Aspergillus Flavus, 977032-05-5,,Y,
Amylase From Aspergillus Niger, 977031-46-1,,Y,
Amylase From Aspergillus Oryzae, 977082-95-3,,Y,
Amylase From Bacillus Subtilis, 977028-31-1,,Y,
Amyloglucosidase From Rhizopus Niveus, 977080-40-2,,Y,
Amyris (Amyris Balsamifera L.), 977059-69-0,,Y,
"Amyris, Oil (Amyris Balsamifera L.)", 8015-65-4,,Y,
Angelica (Angelica Spp.), 977050-05-7,,Y,
Angelica Root (Angelica Spp.), 977050-06-8,,Y,
"Angelica Root, Extract (Angelica Archangelica L.)", 977032-49-7,,Y,
"Angelica Root, Oil (Angelica Archangelica L.)", 8015-64-3,,Y,
Angelica Seed (Angelica Spp.), 977050-07-9,,Y,
"Angelica Seed, Extract (Angelica Archangelica L.)", 977032-50-0,,Y,
"Angelica Seed, Oil (Angelica Archangelica L.)", 977050-08-0,,Y,
"Angelica Stem, Oil (Angelica Archangelica L.)", 977032-48-6,,Y,
Angola Weed (Roccella Fuciformis Ach.), 977038-44-0,,Y,
Angostura (Galipea Offincinalis Hancock), 977000-22-8,,Y,
"Angostura, Extract (Galipea Officinalis Hancock)", 68916-12-1,,Y,
Anionic Methacrylate Copolymer,,E 1207,,Y
Anisaldehyde Propyleneglycol Acetal, 6414-32-0,,Y,
Anise (Pimpinella Anisum L.), 977007-65-0,,Y,
"Anise, Oil (Pimpinella Anisum L.)", 8007-70-3,,Y,
"Anise, Star (Illicium Verum Hook, F.)", 977052-16-6,,Y,
"Anise, Star, Oil (Illicium Verum Hook, F.)", 68952-43-2,,Y,
Anisic Acid, 1335-08-6,,Y,
Anisole, 100-66-3,,Y,
Anisyl Acetate, 104-21-2,,Y,
Anisyl Alcohol, 105-13-5,,Y,
Anisyl Butyrate, 6963-56-0,,Y,
Anisyl Formate, 122-91-8,,Y,
Anisyl Phenylacetate, 102-17-0,,Y,
Anisyl Propionate, 7549-33-9,,Y,
"Annatto, Bixin, Norbixin",,E 160b,,Y
"Annatto, Extract (Bixa Orellana L.)", 1393-63-1,,Y,
"Annatto, Seed (Bixa Orellana L.)", 977157-28-0,,Y,
Anoxomer, 60837-57-2,,Y,
Anthocyanins,,E 163,,Y
"Anthracite Coal, Sulfonated", 69013-20-3,,Y,
"Apple Essence, Natural", 977090-73-5,,Y,
"Apricot Kernel, Oil (Prunus Armeniaca L.)", 72869-69-3,,Y,
Arabinogalactan, 9036-66-2,,Y,
Argon,,E 938,,Y
Arnica Flowers (Arnica Spp.), 977000-27-3,,Y,
Arrowroot Starch, 977000-09-1,,Y,
Artemisia (Artemisia Spp.), 977052-73-5,,Y,
Artemisia Extract, 977032-37-3,,Y,
Artemisia Oil, 8008-93-3,,Y,
Artichoke Leaves (Cynara Scolymus L.), 977038-45-1,,Y,
"Asafetida, Fluid Extract (Ferula Assafoetida L.)", 977038-46-2,,Y,
"Asafetida, Gum (Ferula Assafoetida L.)", 9000-04-8,,Y,
"Asafetida, Oil (Ferula Assafoetida L.)", 72869-70-6,,Y,
Ascorbic Acid, 50-81-7,E 300,Y,Y
Ascorbyl Palmitate, 137-66-6,,Y,
Ascorbyl Stearate, 25395-66-8,,Y,
"Asparagus, Seed And Root, Extract", 977082-96-4,,Y,
Aspartame, 22839-47-0,E 951,Y,Y
Aspergillus Niger For Fermentation Production Of Citric Acid, 9001-23-4,,Y,
Astaxanthin, 472-61-7,,Y,
Azodicarbonamide, 123-77-3,,Y,
"Azorubine, Carmoisine",,E 122,,Y
Bacterial Catalase From Micrococcus Lysodeikticus, 977050-35-3,,Y,
Bakers Yeast Extract, 8013-01-2,,Y,
Baker's Yeast Glycan, 977014-12-2,,Y,
Baker's Yeast Protein, 977014-13-3,,Y,
Balm (Melissa Officinalis L.), 977051-08-3,,Y,
Balm Leaves (Melissa Officinalis L.), 977090-74-6,,Y,
"Balm Leaves, Extract (Melissa Officinalis L.)", 84082-61-1,,Y,
"Balm, Oil (Melissa Officinalis L.)", 8014-71-9,,Y,
"Balsam Fir, Oil (Abies Balsamea (L.) Mill.)", 8024-15-5,,Y,
"Balsam Fir, Oleoresin (Abies Balsamea (L.) Mill.)", 977017-81-4,,Y,
"Balsam, Peru (Myroxylon Pereirae Klotzsch)", 8007-00-9,,Y,
"Balsam, Peru, Oil (Myroxylon Pereirae Klotzsch)", 977136-92-7,,Y,
Basic Methacrylate Copolymer,,E 1205,,Y
Basil (Ocimum Basilicum L.), 977050-14-8,,Y,
Basil Bush (Ocimum Minimum L.), 977051-55-0,,Y,
"Basil, Extract (Ocimum Basilicum L.)", 84775-71-3,,Y,
"Basil, Oil (Ocimum Basilicum L.)", 8015-73-4,,Y,
"Basil, Oleoresin (Ocimum Basilicum L.)", 977017-82-5,,Y,
Bay (Laurus Nobilis L.), 977050-15-9,,Y,
"Bay Leaves, Sweet, Extract (Laurus Nobilis L.)", 84603-73-6,,Y,
"Bay Leaves, Sweet, Oil (Laurus Nobilis L.)", 8007-48-5,,Y,
"Bay Leaves, West Indian, Extract (Pimenta Acris Kostel)", 977090-77-9,,Y,
"Bay Leaves, West Indian, Oil (Pimenta Racemosa (Mill.) J.w. Moore)", 8006-78-8,,Y,
"Bay Leaves, West Indian, Oleoresin (Pimenta Acris Kostel)", 977090-78-0,,Y,
"Beechwood, Creosote (Fagus Spp.)", 8021-39-4,,Y,
Beeswax, 8012-89-3,E 901,Y,Y
"Beeswax, Bleached", 8006-40-4,,Y,
"Beetroot Red, Betanin",,E 162,,Y
Bentonite, 1302-78-9,E 558,Y,Y
Benzaldehyde, 100-52-7,,Y,
Benzaldehyde Dimethyl Acetal, 1125-88-8,,Y,
Benzaldehyde Glyceryl Acetal, 1319-88-6,,Y,
Benzaldehyde Propylene Glycol Acetal, 2568-25-4,,Y,
Benzene, 71-43-2,,Y,
Benzenethiol, 108-98-5,,Y,
Benzoic Acid, 65-85-0,E 210,Y,Y
Benzoin, 119-53-9,,Y,
"Benzoin, Resin (Styrax Spp.)", 9000-05-9,,Y,
Benzophenone, 119-61-9,,Y,
Benzothiazole, 95-16-9,,Y,
Benzoyl Peroxide, 94-36-0,,Y,
"Benzyl 2,3-Dimethylcrotonate", 7492-69-5,,Y,
Benzyl Acetate, 140-11-4,,Y,
Benzyl Acetoacetate, 5396-89-4,,Y,
Benzyl Alcohol, 100-51-6,E 1519,Y,Y
Benzyl Benzoate, 120-51-4,,Y,
Benzyl Butyl Ether, 588-67-0,,Y,
Benzyl Butyrate, 103-37-7,,Y,
Benzyl Cinnamate, 103-41-3,,Y,
Benzyl Disulfide, 150-60-7,,Y,
Benzyl Ethyl Ether, 539-30-0,,Y,
Benzyl Formate, 104-57-4,,Y,
Benzyl Hexanoate, 6938-45-0,,Y,
Benzyl Isobutyrate, 103-28-6,,Y,
Benzyl Isothiocyanate, 622-78-6,,Y,
Benzyl Isovalerate, 103-38-8,,Y,
Benzyl Levulinate, 6939-75-9,,Y,
Benzyl Mercaptan, 100-53-8,,Y,
Benzyl Methoxyethyl Acetal, 7492-39-9,,Y,
Benzyl Methyl Sulfide, 766-92-7,,Y,
Benzyl Nonanoate, 6471-66-5,,Y,
Benzyl Phenylacetate, 102-16-9,,Y,
Benzyl Propionate, 122-63-4,,Y,
Benzyl Salicylate, 118-58-1,,Y,
Benzyl Trans-2-Methyl-2-Butenoate, 37526-88-8,,Y,
"Bergamot, Oil (Citrus Aurantium L. Subsp. Bergamia Wright Et Arn.)", 8007-75-8,,Y,
Beta-Alanine, 107-95-9,,Y,
Beta-Angelicalactone, 591-11-7,,Y,
Beta-Apo-8'-Carotenal, 1107-26-2,E 160e,Y,Y
Beta-Bourbonene, 5208-59-3,,Y,
Beta-Carotene, 7235-40-7,,Y,
Beta-Caryophyllene, 87-44-5,,Y,
Beta-Caryophyllene Alcohol, 472-97-9,,Y,
Beta-Caryophyllene Alcohol Acetate, 57082-24-3,,Y,
Beta-Caryophyllene Oxide, 1139-30-6,,Y,
Beta-Cyclodextrin, 7585-39-9,E 459,Y,Y
Betaine, 107-43-7,,Y,
Beta-Ionol, 22029-76-1,,Y,
Beta-Ionone, 14901-07-6,,Y,
Beta-Ionone Epoxide, 23267-57-4,,Y,
Beta-Ionyl Acetate, 22030-19-9,,Y,
Beta-Isomethylionone, 79-89-0,,Y,
Beta-Methylphenethyl Alcohol, 1123-85-9,,Y,
Beta-Myrcene, 123-35-3,,Y,
Beta-Naphthyl Anthranilate, 63449-68-3,,Y,
Beta-Naphthyl Ethyl Ether, 93-18-5,,Y,
Beta-Naphthyl Isobutyl Ether, 2173-57-1,,Y,
Beta-Naphthyl Methyl Ether, 93-04-9,,Y,
Beta-Pinene, 127-91-3,,Y,
Beta-Terpineol, 138-87-4,,Y,
Biotin, 58-85-5,,Y,
Biphenyl, 92-52-4,,Y,
"Birch Tar, Oil (Betula Pendula Roth And Related Betula Spp.)", 8001-88-5,,Y,
"Birch, Sweet, Oil (Betula Lenta L.)", 68917-50-0,,Y,
Bis(1-Mercaptopropyl)Sulfide, 53897-60-2,,Y,
"Bis(2,5-Dimethyl-3-Furyl) Disulfide", 28588-73-0,,Y,
Bis(2-Methyl-3-Furyl) Disulfide, 28588-75-2,,Y,
Bis(2-Methyl-3-Furyl) Tetrasulfide, 28588-76-3,,Y,
Bis(2-Methylphenyl) Disulfide, 4032-80-8,,Y,
Bis-(Methylthio)Methane, 1618-26-4,,Y,
Bisabolene, 495-62-5,,Y,
"Blackberry Bark, Extract (Rubus, Spp. Of Section Eubatus)", 977047-53-2,,Y,
Blackberry Fruit Extract, 84787-69-9,,Y,
"Bois De Rose, Oil (Aniba Rosaeodora Ducke)", 8015-77-8,,Y,
Boldus Leaves (Peumus Boldus Mol.), 977052-75-7,,Y,
"Bonito, Dried", 977138-71-8,,Y,
Boric Acid, 10043-35-3,E 284,Y,Y
Borneol, 507-70-0,,Y,
Bornyl Acetate, 76-49-3,,Y,
Bornyl Butyrate, 13109-70-1,,Y,
Bornyl Formate, 7492-41-3,,Y,
Bornyl Isovalerate, 76-50-6,,Y,
Bornyl Valerate, 7549-41-9,,Y,
"Boronia, Absolute (Boronia Megastigma Nees)", 8053-33-6,,Y,
"Bouillon, Vegetable, Smoke", 977090-81-5,,Y,
"Brilliant Black Bn, Black Pn",,E 151,,Y
Brilliant Blue Fcf,,E 133,,Y
Bromelain, 9001-00-7,,Y,
Brominated Vegetable Oil, 8016-94-2,,Y,
Brown Ht,,E 155,,Y
Bryonia Root (Bryonia Spp.), 977000-49-9,,Y,
Buchu Leaves (Barosma Betulina And Crenulata), 977000-50-2,,Y,
Buchu Leaves Extract, 977009-82-7,,Y,
"Buchu Leaves, Oil (Barosma Spp.)", 68650-46-4,,Y,
Buckbean Leaves (Menyanthes Trifoliata L.), 977038-51-9,,Y,
"Buckbean Leaves, Extract (Menyanthes Trifoliata L.)", 977038-52-0,,Y,
Butadiene-Styrene Rubber, 9003-55-8,,Y,
Butan-3-One-2-Yl Butanoate, 84642-61-5,,Y,
Butanal Dibenzyl Thioacetal, 101780-73-8,,Y,
Butane,,E 943a,,Y
Butter Acids, 85536-25-0,,Y,
Butter Esters, 977019-26-3,,Y,
"Butter Fat, Enzyme-Modified, With Added Butyric Acid", 977093-25-6,,Y,
Butter Starter Distillate, 977019-27-4,,Y,
Butyl 10-Undecenoate, 109-42-2,,Y,
Butyl 2-Decenoate, 7492-45-7,,Y,
Butyl Acetate, 123-86-4,,Y,
Butyl Acetoacetate, 591-60-6,,Y,
Butyl Alcohol, 71-36-3,,Y,
Butyl Anthranilate, 7756-96-9,,Y,
Butyl Beta-(Methylthio)Acrylate, 77105-53-4,,Y,
Butyl Beta-Naphthyl Ether, 10484-56-7,,Y,
Butyl Butyrate, 109-21-7,,Y,
Butyl Butyryllactate, 7492-70-8,,Y,
Butyl Cinnamate, 538-65-8,,Y,
Butyl Ethyl Disulfide, 63986-03-8,,Y,
Butyl Ethyl Malonate, 17373-84-1,,Y,
Butyl Formate, 592-84-7,,Y,
Butyl Heptanoate, 5454-28-4,,Y,
Butyl Hexanoate, 626-82-4,,Y,
Butyl Isobutyrate, 97-87-0,,Y,
Butyl Isothiocyanate, 592-82-5,,Y,
Butyl Isovalerate, 109-19-3,,Y,
Butyl Lactate, 138-22-7,,Y,
Butyl Laurate, 106-18-3,,Y,
Butyl Levulinate, 2052-15-5,,Y,
Butyl Oleate Sulfate, 38621-44-2,,Y,
Butyl Phenylacetate, 122-43-0,,Y,
Butyl P-Hydroxybenzoate, 94-26-8,,Y,
Butyl Propionate, 590-01-2,,Y,
Butyl Salicylate, 2052-14-4,,Y,
Butyl Stearate, 123-95-5,,Y,
Butyl Sulfide, 544-40-1,,Y,
Butyl Valerate, 591-68-4,,Y,
Butylamine, 109-73-9,,Y,
Butylated Hydroxyanisole, 25013-16-5,E 320,Y,Y
Butylated Hydroxytoluene, 128-37-0,E 321,Y,Y
Butyraldehyde, 123-72-8,,Y,
Butyramide, 541-35-5,,Y,
Butyric Acid, 107-92-6,,Y,
Cadinene, 29350-73-0,,Y,
Caffeine, 58-08-2,,Y,
"Cajeput, Oil (Melaleuca Leucadendron L.)", 8008-98-8,,Y,
Calcium 5'-Ribonucleotides,,E 634,,Y
Calcium Acetate, 62-54-4,E 263,Y,Y
Calcium Alginate,,E 404,,Y
Calcium Aluminium Silicate,,E 556,,Y
Calcium Ascorbate, 5743-27-1,E 302,Y,Y
Calcium Benzoate, 2090-05-3,E 213,Y,Y
Calcium Bromate, 10102-75-7,,Y,
Calcium Caprate, 13747-30-3,,Y,
Calcium Caprylate, 6107-56-8,,Y,
Calcium Carbonate, 471-34-1,E 170,Y,Y
Calcium Caseinate, 9005-43-0,,Y,
Calcium Chloride, 10035-04-8,E 509,Y,Y
Calcium Citrate, 813-94-5,E 333,Y,Y
Calcium Diglutamate, 5996-22-5,E 623,Y,Y
Calcium Disodium Ethylene Diamine Tetra-Acetate (Calcium Disodium Edta),,E 385,,Y
Calcium Ferrocyanide,,E 538,,Y
Calcium Fumarate, 7718-51-6,,Y,
Calcium Gluconate, 299-28-5,E 578,Y,Y
Calcium Glycerophosphate, 27214-00-2,,Y,
Calcium Guanylate,,E 629,,Y
Calcium Hexametaphosphate, 10102-76-8,,Y,
Calcium Hydrogen Sulphite,,E 227,,Y
Calcium Hydroxide, 1305-62-0,E 526,Y,Y
Calcium Hypophosphite, 7789-79-9,,Y,
Calcium Inosinate,,E 633,,Y
Calcium Iodate, 7789-80-2,,Y,
Calcium Lactate, 814-80-2,E 327,Y,Y
Calcium Lactobionate, 5001-51-4,,Y,
Calcium Laurate, 4696-56-4,,Y,
Calcium Lignosulfonate, 8061-52-7,,Y,
Calcium Malates,,E 352,,Y
Calcium Myristate, 15284-51-2,,Y,
Calcium Oleate, 142-17-6,,Y,
Calcium Oxide, 1305-78-8,E 529,Y,Y
Calcium Palmitate, 542-42-7,,Y,
Calcium Pantothenate, 137-08-6,,Y,
"Calcium Pantothenate, Calcium Chloride Double Salt", 6363-38-8,,Y,
Calcium Peroxide, 1305-79-9,,Y,
"Calcium Phosphate, Dibasic", 7757-93-9,E 341,Y,Y
"Calcium Phosphate, Monobasic", 7758-23-8,,Y,
"Calcium Phosphate, Tribasic", 7758-87-4,,Y,
Calcium Phytate, 7776-28-5,,Y,
Calcium Propionate, 4075-81-4,E 282,Y,Y
Calcium Pyrophosphate, 7790-76-3,,Y,
Calcium Salts Of Fatty Acids, 977089-53-4,,Y,
Calcium Silicate, 1344-95-2,E 552,Y,Y
Calcium Sorbate, 7492-55-9,E 203,Y,Y
Calcium Stearate, 1592-23-0,,Y,
Calcium Stearoyl-2-Lactylate, 5793-94-2,E 482,Y,Y
Calcium Sulfate, 7778-18-9,E 516,Y,Y
Calcium Sulphite,,E 226,,Y
Calcium Tartrate,,E 354,,Y
Calumba Root (Jatrorrhiza Palmata (Lam.) Miers), 977000-55-7,,Y,
"Calumba Root, Extract (Jatrorrhiza Palmata (Lam.) Miers)", 977000-74-0,,Y,
Camphene, 79-92-5,,Y,
Campholene Acetate, 1727-68-0,,Y,
"Camphor Oil, Formosan Ho-Sho, Leaves (Cinnamomum Camphora)", 8022-91-1,,Y,
"Camphor, Japanese, White, Oil (Cinnamomum Camphora (L.) Nees Et Eberm.)", 8008-51-3,,Y,
"Cananga, Oil (Cananga Odorata Hook. F. And Thoms.)", 68606-83-7,,Y,
Candelilla Wax (Wax From Stems And Branches Of Euphorbia Cerifera), 8006-44-8,E 902,Y,Y
Candida Guilliermondii, 977075-47-0,,Y,
Candida Lipolytica, 67892-25-5,,Y,
Canthaxanthin, 514-78-3,E 161g,Y,Y
Capers (Capparis Spinosa L.), 977050-25-1,,Y,
Caprolactam, 105-60-2,,Y,
Capsicum (Capsicum Spp.), 977007-72-9,,Y,
Capsicum Extract (Capsicum Spp.), 977018-42-0,,Y,
"Capsicum, Oleoresin (Capsicum Spp.)", 8023-77-6,,Y,
Caramel, 8028-89-5,,Y,
Caraway (Carum Carvi L.), 977001-27-6,,Y,
"Caraway, Black (Nigella Sativa L.)", 977017-84-7,,Y,
"Caraway, Oil (Carum Carvi L.)", 8000-42-8,,Y,
Carbamide,,E 927b,,Y
Carbohydrase And Cellulase From Aspergillus Niger, 977050-27-3,,Y,
"Carbohydrase And Protease, Mixture, From Bacillus Subtilis", 977082-97-5,,Y,
Carbohydrase From Aspergillus Oryzae, 977017-32-5,,Y,
Carbohydrase From Bacillus Amyloliquefaciens, 977184-71-6,,Y,
Carbohydrase From Bacillus Licheniformis, 977043-27-8,,Y,
Carbohydrase From Bacillus Subtilis, 977031-70-1,,Y,
Carbohydrase From Rhizopus Oryzae, 977050-28-4,,Y,
Carbohydrase From Saccharomyces Spp., 977031-72-3,,Y,
"Carbohydrase/Proteinase Preparation, Bacillus Licheniformis", 977083-17-2,,Y,
Carbon Dioxide, 124-38-9,E 290,Y,Y
Carboxymethyl Cellulose, 9000-11-7,E 466,Y,Y
"Carboxymethyl Cellulose, Sodium Salt", 9004-32-4,,Y,
Carboxymethyl Hydroxyethyl Cellulose, 9004-30-2,,Y,
Cardamom (Elletaria Cardamomum (L.) Maton), 977005-95-0,,Y,
Cardamom Oleoresin, 977090-82-6,,Y,
"Cardamom Seed, Oil (Elletaria Cardamomum (L.) Maton)", 8000-66-6,,Y,
Carmine (Coccus Cacti L.), 1390-65-4,,Y,
Carnauba Wax (Copernicia Cerifera (Arruda) Mart.), 8015-86-9,E 903,Y,Y
"Carob Bean, Extract (Ceratonia Siliqua L.)", 84961-45-5,,Y,
Carotenes,,E 160a,,Y
Carrageenan, 9000-07-1,E 407,Y,Y
Carrageenan And Salts Of Carrageenan, 977043-69-8,,Y,
Carrageenan Salts With Polysorbate 80, 977043-70-1,,Y,
Carrageenan With Polysorbate 80, 977043-68-7,,Y,
"Carrageenan, Ammonium Salt Of", 60063-90-3,,Y,
"Carrageenan, Ammonium Salt Of, With Polysorbate 80", 977089-28-3,,Y,
"Carrageenan, Calcium Salt Of", 9049-05-2,,Y,
"Carrageenan, Calcium Salt Of, With Polysorbate 80", 977089-29-4,,Y,
"Carrageenan, Potassium Salt Of", 64366-24-1,,Y,
"Carrageenan, Potassium Salt Of, With Polysorbate 80", 977089-30-7,,Y,
"Carrageenan, Sodium Salt Of", 9061-82-9,,Y,
"Carrageenan, Sodium Salt Of, With Polysorbate 80", 977089-31-8,,Y,
"Carrot, Oil (Daucus Carota L.)", 8015-88-1,,Y,
Carvacrol, 499-75-2,,Y,
Carvacryl Ethyl Ether, 4732-13-2,,Y,
Carveol, 99-48-9,,Y,
Carvomenthol, 499-69-4,,Y,
Carvone, 99-49-0,,Y,
